stim_id,superordinate,np,adj,response,response_hand_lemma
28,audios,opera,short,performances,performances
28,audios,opera,short,songs,songs
29,concerts,choral concert,loud,music,music
29,concerts,choral concert,loud,noise,noise
29,concerts,choral concert,loud,places,places
29,concerts,choral concert,loud,sounds,sounds
29,concerts,choral concert,quiet,music,music
29,concerts,rap concert,loud,music,music
29,concerts,rap concert,loud,places,places
29,concerts,rock concert,loud,music,music
29,concerts,rock concert,loud,noises,noise
29,concerts,rock concert,loud,noises.,noise
29,concerts,rock concert,loud,places,places
29,concerts,rock concert,loud,sounds,sounds
30,venue,church,noisy,buildings,buildings
30,venue,church,noisy,environments,environment
30,venue,church,noisy,places,places
30,venue,church,quiet,buildings,buildings
30,venue,church,quiet,indoor spaces,indoor spaces
30,venue,church,quiet,locations,locations
30,venue,church,quiet,places,places
30,venue,conference center,noisy,buildings,buildings
30,venue,conference center,noisy,centers,centers
30,venue,conference center,noisy,environments,environment
30,venue,conference center,noisy,locations,locations
30,venue,conference center,noisy,places,places
30,venue,conference center,noisy,rooms,room
30,venue,conference center,quiet,buildings,buildings
30,venue,conference center,quiet,centers,centers
30,venue,conference center,quiet,locations,locations
30,venue,conference center,quiet,places,places
30,venue,conference center,quiet,rooms,room
30,venue,party,noisy,indoor spaces,indoor spaces
30,venue,party,noisy,locations,locations
30,venue,party,noisy,places,places
30,venue,party,noisy,rooms,room
30,venue,party,quiet,buildings,buildings
30,venue,party,quiet,environment,environment
31,pets,cat,loud,animals,animals
31,pets,cat,loud,sounds,sounds
31,pets,cat,quiet,animals,animals
31,pets,cat,quiet,places,places
31,pets,fish,loud,places,places
31,pets,fish,loud,sound,sounds
31,pets,fish,quiet,animals,animals
31,pets,fish,quiet,noises,noise
31,pets,fish,quiet,place,places
31,pets,fish,quiet,places,places
31,pets,parrot,loud,animals,animals
31,pets,parrot,loud,birds,birds
31,pets,parrot,loud,places,places
31,pets,parrot,loud,sounds,sounds
31,pets,parrot,quiet,animals,animals
31,pets,parrot,quiet,birds,birds
31,pets,parrot,quiet,places,places
32,venues,concert,noisy,buildings,buildings
32,venues,concert,noisy,places,places
32,venues,concert,noisy,saturday nights,saturday night
32,venues,library,noisy,locations,locations
32,venues,library,noisy,places,places
32,venues,library,noisy,rooms,room
32,venues,library,noisy,saturday nights,saturday night
32,venues,library,quiet,buildings,buildings
32,venues,library,quiet,locations,locations
32,venues,library,quiet,places,places
32,venues,library,quiet,rooms,room
32,venues,restaurant,noisy,places,places
32,venues,restaurant,quiet,places,places
32,venues,restaurant,quiet,rooms,room
32,venues,restaurant,quiet,saturday nights,saturday night
33,birds,crow,loud,animals,animals
33,birds,crow,loud,bird sounds,bird sounds
33,birds,crow,loud,sound,sounds
33,birds,crow,loud,sounds,sounds
33,birds,crow,quiet,places,places
33,birds,crow,quiet,sounds,sounds
33,birds,finch,loud,animals,animals
33,birds,finch,loud,noises,noise
33,birds,finch,loud,sounds,sounds
33,birds,finch,quiet,animals,animals
33,birds,finch,quiet,places,places
33,birds,rooster,loud,animals,animals
33,birds,rooster,loud,noises,noise
33,birds,rooster,loud,sounds,sounds
33,birds,rooster,quiet,animals,animals
33,birds,rooster,quiet,sounds,sounds
34,instruments,guitar,loud,music,music
34,instruments,guitar,loud,noise,noise
34,instruments,guitar,loud,noises,noise
34,instruments,guitar,loud,sounds,sounds
34,instruments,guitar,quiet,music,music
34,instruments,guitar,quiet,sounds,sounds
34,instruments,harp,loud,noises,noise
34,instruments,harp,loud,sounds,sounds
34,instruments,harp,quiet,music,music
34,instruments,harp,quiet,sounds,sounds
34,instruments,horn,loud,noises,noise
34,instruments,horn,loud,sounds,sounds
34,instruments,horn,quiet,music,music
35,people,adult,loud,noises,noise
35,people,adult,quiet,rooms,room
35,people,baby,loud,noises,noise
35,people,baby,loud,rooms,room
35,people,teenager,quiet,noises,noise
35,people,teenager,quiet,rooms,room
36,places,city,noisy,towns,towns
36,places,town,quiet,cities,city
36,places,village,noisy,towns,towns
36,places,village,quiet,cities,city
36,places,village,quiet,towns,towns
37,vehicles,car,loud,sound,sounds
37,vehicles,car,quiet,streets,streets
37,vehicles,electric car,loud,car,cars
37,vehicles,electric car,loud,cars,cars
37,vehicles,electric car,quiet,car,cars
37,vehicles,electric car,quiet,cars,cars
37,vehicles,tractor,loud,sound,sounds
37,vehicles,tractor,loud,sounds,sounds
38,birds,mockingbird,loud,noises,noise
38,birds,mockingbird,loud,places,places
38,birds,mockingbird,loud,sounds,sounds
38,birds,mockingbird,quiet,areas,areas
38,birds,mockingbird,quiet,locations,locations
38,birds,mockingbird,quiet,places,places
38,birds,mockingbird,quiet,sounds in the forest,sounds in the forest
38,birds,owl,loud,animals,animals
38,birds,owl,loud,sounds in the forest,sounds in the forest
38,birds,owl,quiet,animals,animals
38,birds,owl,quiet,locations,locations
38,birds,owl,quiet,places,places
38,birds,owl,quiet,sounds in the forest,sounds in the forest
38,birds,woodpecker,loud,noises,noise
38,birds,woodpecker,loud,sounds,sounds
38,birds,woodpecker,loud,sounds in the forest,sounds in the forest
38,birds,woodpecker,quiet,areas.,areas
38,birds,woodpecker,quiet,noises,noise
38,birds,woodpecker,quiet,places,places
38,birds,woodpecker,quiet,sounds,sounds
39,boats,powerboat,loud,motors,motors
39,boats,powerboat,loud,sounds,sounds
39,boats,rowboat,loud,sounds,sounds
39,boats,rowboat,quiet,motors,motors
39,boats,rowboat,quiet,places,places
