stim_id,superordinate,np,adj,response,response_hand_lemma,label
28,audios,opera,long,songs,songs,intermediate
28,audios,opera,short,performances,performances,supersuper
28,audios,opera,short,songs,songs,intermediate
29,concerts,choral concert,loud,music,music,supersuper
29,concerts,choral concert,loud,noise,noise,supersuper
29,concerts,choral concert,loud,places,places,diff
29,concerts,choral concert,loud,sounds,sounds,scale
29,concerts,choral concert,quiet,music,music,supersuper
29,concerts,rap concert,loud,music,music,supersuper
29,concerts,rap concert,loud,places,places,diff
29,concerts,rock concert,loud,music,music,supersuper
29,concerts,rock concert,loud,noises,noise,supersuper
29,concerts,rock concert,loud,noises.,noise,supersuper
29,concerts,rock concert,loud,places,places,diff
29,concerts,rock concert,loud,sounds,sounds,scale
30,venue,church,noisy,buildings,buildings,super
30,venue,church,noisy,environments,environment,supersuper
30,venue,church,noisy,places,places,supersuper
30,venue,church,quiet,buildings,buildings,super
30,venue,church,quiet,indoor spaces,indoor spaces,intermediate
30,venue,church,quiet,locations,locations,supersuper
30,venue,church,quiet,places,places,supersuper
30,venue,conference center,noisy,buildings,buildings,super
30,venue,conference center,noisy,centers,centers,diff
30,venue,conference center,noisy,environments,environment,supersuper
30,venue,conference center,noisy,locations,locations,supersuper
30,venue,conference center,noisy,places,places,supersuper
30,venue,conference center,noisy,rooms,room,intermediate
30,venue,conference center,quiet,buildings,buildings,super
30,venue,conference center,quiet,centers,centers,diff
30,venue,conference center,quiet,locations,locations,supersuper
30,venue,conference center,quiet,places,places,supersuper
30,venue,conference center,quiet,rooms,room,intermediate
30,venue,party,noisy,indoor spaces,indoor spaces,intermediate
30,venue,party,noisy,locations,locations,supersuper
30,venue,party,noisy,places,places,supersuper
30,venue,party,noisy,rooms,room,intermediate
30,venue,party,quiet,buildings,buildings,super
30,venue,party,quiet,environment,environment,supersuper
31,pets,cat,loud,animals,animals,supersuper
31,pets,cat,loud,sounds,sounds,scale
31,pets,cat,quiet,animals,animals,supersuper
31,pets,fish,loud,sound,sounds,scale
31,pets,fish,quiet,animals,animals,supersuper
31,pets,fish,quiet,noises,noise,scale
31,pets,parrot,loud,animals,animals,supersuper
31,pets,parrot,loud,birds,birds,diff
31,pets,parrot,loud,sounds,sounds,scale
31,pets,parrot,quiet,animals,animals,supersuper
31,pets,parrot,quiet,birds,birds,diff
32,venues,concert,noisy,buildings,buildings,super
32,venues,concert,noisy,places,places,supersuper
32,venues,concert,noisy,saturday nights,saturday night,diff
32,venues,concert,quiet,night,night,diff
32,venues,library,noisy,locations,locations,supersuper
32,venues,library,noisy,nights,night,diff
32,venues,library,noisy,places,places,supersuper
