workerid,stim_id,degree,superordinate_pl,NP_sg,NP_pl,np_expectations,adj_polarity,val,subFreq,superFreq
worker_268,85,weight,fruit,plum,plums,low,positive,0,496751,22768964
worker_268,55,size,fish,herring,herrings,low,positive,0,137142,52768568
worker_268,23,length,readings,novel,novels,high,positive,0,7525142,8678675
worker_268,11,hardness,floors,carpet,carpet floors,low,positive,0,38431,7863848
worker_219,38,loudness,birds,owl,owls,low,positive,0,2208765,19695831
worker_219,3,darkness,cakes,cheesecake,cheesecakes,high,positive,1,267986,5565768
worker_219,28,length,audios,opera,operas,high,positive,1,812910,313133
worker_219,36,loudness_n,places,village,villages,low,positive,0,6997181,51698261
worker_219,76,temperature_h,places,shopping mall,shopping malls,medium,positive,0,634311,51698261
worker_219,47,price,berries,strawberries,strawberries,low,positive,0,1437661,1879643
worker_219,87,width,roads,downtown street,downtown streets,medium,positive,0,28751,15093824
worker_219,52,size,animals,elephant,elephants,high,positive,1,2082778,58179731
worker_219,54,size,fruit,peach,peaches,medium,positive,0,1484097,22768964
worker_219,73,temperature_h,drinks,coffee,coffee,high,positive,1,42090859,11137329
worker_219,70,strength,paints,wall paint,wall paints,medium,positive,0,3469,3617496
worker_219,75,temperature_h,locations,freezer,freezers,low,positive,0,2253962,58471896
worker_219,43,price,shoes,boots,boots,high,positive,0,18970389,80761516
worker_219,19,height,people,jockey,jockeys,low,positive,0,875781,480323270
worker_219,23,length,readings,story,stories,medium,positive,0,115510308,8678675
worker_219,24,length,vehicles,pick-up truck,pick up trucks,medium,positive,1,21984,37254742
worker_219,6,darkness,flowers,dahlia,dahlias,low,positive,0,135476,58380229
worker_219,55,size,fish,herring,herrings,low,positive,0,137142,52768568
worker_219,65,speed,people,child,children,medium,positive,0,206543771,480323270
worker_219,78,weight,animals,elephant,elephants,high,positive,1,2082778,58179731
worker_219,59,speed,people,jogger,joggers,medium,positive,1,260504,480323270
worker_219,2,darkness,paint,black paint,black paints,low,positive,0,820,21928120
worker_219,69,strength,athletes,cyclist,cyclists,medium,positive,0,1228897,7268360
worker_219,46,price,clothes,suit,suits,high,positive,1,7986526,27039649
worker_219,27,length,races,triathlon race,triathlon races,high,positive,0,1415,9715279
worker_219,79,weight,people,adult,adults,high,positive,1,32847475,480323270
worker_219,88,width,waterways,river,rivers,high,positive,0,11240148,1843915
worker_219,89,width,roads,country lane,country lanes,low,positive,0,51288,15093824
worker_219,37,loudness_n,vehicles,car,cars,medium,positive,0,109722086,37254742
worker_219,81,weight,furniture,chair,chairs,medium,positive,0,15833441,67400151
worker_219,11,hardness,floors,tile,tile floors,high,positive,1,123821,7863848
worker_219,12,hardness,fruit,banana,bananas,low,positive,0,1891241,22768964
worker_219,86,width,animal dens,bear den,bear dens,high,positive,0,2361,324
worker_219,15,height,animals,giraffe,giraffes,high,positive,1,260416,58179731
worker_219,77,temperature_h,food,chocolate fondue,chocolate fondues,high,positive,0,1783,180152837
worker_219,51,size,plants,flower,flowers,low,positive,0,58380229,35939932
worker_219,20,height,trees,alpine tree,alpine trees,medium,positive,1,1447,27379426
worker_219,8,darkness,animals,tiger,tigers,medium,positive,0,7002617,58179731
worker_219,68,strength,storms,hurricane,hurricanes,high,positive,1,3785008,3614108
worker_219,14,hardness,furniture,pillow,pillows,low,positive,0,3970202,67400151
worker_219,40,loudness,guitars,acoustic guitar,acoustic guitars,medium,positive,0,549025,7278585
worker_219,48,price,meat,pork,pork,low,positive,0,5973716,17654214
worker_219,66,speed_f,aircrafts,glider,gliders,low,positive,0,653558,237522
worker_219,61,speed,cookware,crockpot,crockpots,low,positive,0,11879,3617598
worker_219,67,strength,people,child,children,low,positive,0,206543771,480323270
worker_219,16,height,buildings,skyscraper,skyscrapers,high,positive,1,550406,27623285
worker_219,9,hardness,vegetables,tomato,tomatoes,medium,positive,0,5924980,9067552
worker_219,85,weight,fruit,orange,oranges,medium,positive,0,1523633,22768964
worker_124,50,price,restaurants,Korean restaurant,korean restaurants,medium,positive,0,37242,58580418
worker_124,57,size,appliances,oven,ovens,medium,positive,0,3443150,23847029
worker_124,76,temperature_h,places,sauna,saunas,high,positive,0,934002,51698261
worker_124,12,hardness,fruit,melon,melons,high,positive,0,1015937,22768964
worker_124,34,loudness_n,instruments,horn,horns,high,positive,0,2427037,48493077
worker_124,40,loudness,guitars,acoustic guitar,acoustic guitars,medium,positive,0,549025,7278585
worker_124,68,strength,storms,thunderstorm,thunderstorms,medium,positive,0,1410569,3614108
worker_124,45,price,bracelets,gold,gold bracelets,high,positive,0,166222,6784458
worker_124,69,strength,athletes,wrestler,wrestlers,high,positive,0,772270,7268360
worker_124,85,weight,fruit,plum,plums,low,positive,0,496751,22768964
worker_124,64,speed,pets,rabbit,rabbits,high,positive,1,2987957,26155002
worker_124,83,weight,materials,silk,silks,low,positive,0,418180,83903351
worker_124,2,darkness,paint,blue paint,blue paints,medium,positive,0,543,21928120
worker_124,88,width,waterways,creek,creeks,low,positive,0,862386,1843915
worker_124,6,darkness,flowers,dahlia,dahlias,low,positive,0,135476,58380229
worker_124,74,temperature,seasons,winter,winter days,low,positive,0,80466,12035578
worker_124,13,hardness,materials,plastic,plastic,medium,positive,0,35423760,83903351
worker_124,67,strength,people,adult,adults,high,positive,0,32847475,480323270
worker_124,24,length,vehicles,limousine,limousines,high,positive,1,15896227,37254742
worker_124,90,width,doors,front gate,front gates,high,positive,0,16932,20230179
worker_124,75,temperature_h,locations,pantry,pantries,medium,positive,0,105460,58471896
worker_124,78,weight,animals,elephant,elephants,high,positive,1,2082778,58179731
worker_124,10,hardness,candies,jolly rancher,jollies,high,positive,1,40797,1298890
worker_124,43,price,shoes,sneakers,sneakers,medium,positive,0,1435693,80761516
worker_124,73,temperature_h,drinks,milkshake,milkshakes,low,positive,0,99722,11137329
worker_124,37,loudness_n,vehicles,car,cars,medium,positive,0,109722086,37254742
worker_124,15,height,animals,monkey,monkeys,medium,positive,0,4144229,58179731
worker_124,61,speed,cookware,crockpot,crockpots,low,positive,0,11879,3617598
worker_124,60,speed,animals,elephant,elephants,medium,positive,0,2082778,58179731
worker_124,70,strength,paints,wall paint,wall paints,medium,positive,0,3469,3617496
worker_124,33,loudness_n,birds,finch,finches,low,positive,0,280095,19695831
worker_124,46,price,clothes,suit,suits,high,positive,1,7986526,27039649
worker_124,20,height,trees,bonsai tree,bonsai trees,low,positive,0,154424,27379426
worker_124,89,width,roads,street,streets,medium,positive,0,15936688,15093824
worker_124,4,darkness,times of day,dusk,dusks,medium,positive,0,3542,99907
worker_124,53,size,insects,ant,ants,low,positive,0,2101115,5119814
worker_124,23,length,readings,poem,poems,low,positive,0,12665322,8678675
worker_124,8,darkness,animals,jaguar,jaguars,high,positive,0,1285032,58179731
worker_124,19,height,people,golfer,golfers,medium,positive,0,1664649,480323270
worker_124,14,hardness,furniture,pillow,pillows,low,positive,0,3970202,67400151
worker_124,86,width,animal dens,fox den,fox dens,medium,positive,0,1610,324
worker_124,56,size,vehicles,truck,trucks,high,positive,1,13809070,37254742
worker_124,16,height,buildings,skyscraper,skyscrapers,high,positive,1,550406,27623285
worker_124,63,speed_f,boats,rowboat,rowboats,low,positive,0,42015,15603129
worker_124,82,weight,objects,stick,sticks,medium,positive,0,6395033,33848628
worker_124,28,length,audios,song,songs,low,positive,0,49286341,313133
worker_124,26,length,roads,street,streets,medium,positive,0,15936688,15093824
worker_124,51,size,plants,tree,trees,high,positive,1,27379426,35939932
worker_248,15,height,animals,penguin,penguins,low,positive,0,2550463,58179731
worker_248,88,width,waterways,creek,creeks,low,positive,0,862386,1843915
worker_248,21,length,dogs,dachshund,dachshunds,high,positive,1,116109,28409576
worker_248,80,weight,electronic devices,cell phone,cell phones,low,positive,1,24281813,631257
worker_248,11,hardness,floors,carpet,carpet floors,low,positive,0,38431,7863848
worker_248,20,height,trees,alpine tree,alpine trees,medium,positive,1,1447,27379426
worker_248,60,speed,animals,cheetah,cheetahs,high,positive,1,217628,58179731
worker_248,79,weight,people,adult,adults,high,positive,1,32847475,480323270
worker_248,40,loudness,guitars,acoustic guitar,acoustic guitars,medium,positive,0,549025,7278585
worker_248,51,size,plants,tree,trees,high,positive,1,27379426,35939932
worker_248,27,length,races,sprinting race,sprints,low,positive,0,444674,9715279
worker_248,19,height,people,golfer,golfers,medium,positive,1,1664649,480323270
worker_248,83,weight,materials,cotton,cottons,medium,positive,0,214521,83903351
worker_248,49,price,alcoholic drinks,bottle of top-shelf liquor,liquors,high,positive,1,518686,377118
worker_248,38,loudness,birds,owl,owls,low,positive,1,2208765,19695831
worker_248,77,temperature_h,food,muffin,muffins,medium,positive,1,1333924,180152837
worker_248,37,loudness_n,vehicles,tractor,tractors,high,positive,1,2141187,37254742
worker_248,69,strength,athletes,golfer,golfers,low,positive,1,1664649,7268360
worker_248,8,darkness,animals,jaguar,jaguars,high,positive,1,1285032,58179731
worker_248,26,length,roads,highway,highways,high,positive,1,5745573,15093824
worker_248,87,width,roads,downtown street,downtown streets,medium,positive,0,28751,15093824
worker_248,47,price,berries,strawberries,strawberries,low,positive,1,1437661,1879643
worker_248,62,speed_f,vehicles,truck,trucks,low,positive,1,13809070,37254742
worker_248,89,width,roads,boulevard,boulevards,high,positive,1,278244,15093824
worker_248,53,size,insects,ant,ants,low,positive,1,2101115,5119814
worker_248,4,darkness,times of day,night,nights,low,positive,0,21265731,99907
worker_248,18,height,flowers,sunflower,sunflowers,high,positive,1,653916,58380229
worker_248,71,strength,walls,condo,condos,medium,positive,1,5467369,14838230
worker_248,45,price,bracelets,plastic,plastic bracelets,low,positive,0,3294,6784458
worker_248,66,speed_f,aircrafts,helicopter,helicopters,medium,positive,1,2682275,237522
worker_248,67,strength,people,child,children,low,positive,0,206543771,480323270
worker_248,73,temperature_h,drinks,coffee,coffee,high,positive,1,42090859,11137329
worker_248,75,temperature_h,locations,pantry,pantries,medium,positive,1,105460,58471896
worker_248,70,strength,paints,oil paint,oil paints,high,positive,1,76465,3617496
worker_248,84,weight,vehicles,motorcycle,motorcycles,medium,positive,1,5752821,37254742
worker_248,6,darkness,flowers,rose,roses,medium,positive,1,13588663,58380229
worker_248,13,hardness,materials,wood,wood,high,positive,1,51133768,83903351
worker_248,14,hardness,furniture,blanket,blankets,medium,positive,0,4386506,67400151
worker_248,46,price,clothes,coat,coats,medium,positive,1,4107452,27039649
worker_248,10,hardness,candies,piece of chocolate,chocolates,medium,positive,1,3141854,1298890
worker_248,76,temperature_h,places,ice rink,ice rinks,low,positive,0,65504,51698261
worker_248,59,speed,people,runner,runners,high,positive,1,3917217,480323270
worker_248,86,width,animal dens,mouse den,mouse holes,low,positive,0,1789,324
worker_248,34,loudness_n,instruments,horn,horns,high,positive,1,2427037,48493077
worker_248,1,darkness,birds,crow,crows,low,positive,0,1295877,19695831
worker_248,25,length,entertainment,documentary,documentaries,medium,positive,1,1741319,111395809
worker_248,56,size,vehicles,truck,trucks,high,positive,1,13809070,37254742
worker_248,55,size,fish,tuna,tuna,medium,positive,1,2844261,52768568
worker_001,72,temperature,food,soup,soups,high,positive,1,2141445,180152837
worker_001,61,speed,cookware,crockpot,crockpots,low,positive,0,11879,3617598
worker_001,40,loudness,guitars,acoustic guitar,acoustic guitars,medium,positive,0,549025,7278585
worker_001,25,length,entertainment,sitcom,sitcoms,low,positive,0,479686,111395809
worker_001,68,strength,storms,thunderstorm,thunderstorms,medium,positive,0,1410569,3614108
worker_001,66,speed_f,aircrafts,plane,planes,high,positive,0,6448506,237522
worker_001,74,temperature,seasons,summer,summer days,high,positive,1,229054,12035578
worker_001,62,speed_f,vehicles,truck,trucks,low,positive,0,13809070,37254742
worker_001,71,strength,walls,tent,tents,low,positive,0,3850460,14838230
worker_001,75,temperature_h,locations,freezer,freezers,low,positive,0,2253962,58471896
worker_001,28,length,audios,opera,operas,high,positive,1,812910,313133
worker_001,2,darkness,paint,blue paint,blue paints,medium,positive,1,543,21928120
worker_001,31,loudness_n,pets,parrot,parrots,high,positive,1,1049654,26155002
worker_001,73,temperature_h,drinks,milkshake,milkshakes,low,positive,0,99722,11137329
worker_001,23,length,readings,novel,novels,high,positive,0,7525142,8678675
worker_001,69,strength,athletes,cyclist,cyclists,medium,positive,0,1228897,7268360
worker_001,18,height,flowers,tulip,tulips,medium,positive,0,1149010,58380229
worker_001,77,temperature_h,food,chocolate fondue,chocolate fondues,high,positive,1,1783,180152837
worker_001,6,darkness,flowers,dahlia,dahlias,low,positive,1,135476,58380229
worker_001,33,loudness_n,birds,finch,finches,low,positive,0,280095,19695831
worker_001,70,strength,paints,watercolor,watercolors,low,positive,0,567707,3617496
worker_001,4,darkness,times of day,night,nights,low,positive,0,21265731,99907
worker_001,43,price,shoes,sneakers,sneakers,medium,positive,0,1435693,80761516
worker_001,20,height,trees,redwood tree,redwood trees,high,positive,1,27197,27379426
worker_001,84,weight,vehicles,motorcycle,motorcycles,medium,positive,0,5752821,37254742
worker_001,34,loudness_n,instruments,harp,harps,low,positive,0,302445,48493077
worker_001,5,darkness,writing tools,pencil,pencils,low,positive,1,2459655,141108
worker_001,67,strength,people,teenager,teenagers,medium,positive,0,4979216,480323270
worker_001,60,speed,animals,elephant,elephants,medium,positive,0,2082778,58179731
worker_001,51,size,plants,bush,bushes,medium,positive,0,1558141,35939932
worker_001,8,darkness,animals,jaguar,jaguars,high,positive,1,1285032,58179731
worker_001,26,length,roads,highway,highways,high,positive,0,5745573,15093824
worker_001,81,weight,furniture,couch,couches,high,positive,1,478444,67400151
worker_001,29,loudness,concerts,rock concert,rock concerts,high,positive,1,67033,8711738
worker_001,59,speed,people,runner,runners,high,positive,0,3917217,480323270
worker_001,35,loudness,people,teenager,teenagers,medium,positive,0,4979216,480323270
worker_001,90,width,doors,patio door,patio doors,medium,positive,0,222702,20230179
worker_001,3,darkness,cakes,cheesecake,cheesecakes,high,positive,1,267986,5565768
worker_001,38,loudness,birds,mockingbird,mockingbirds,high,positive,0,39837,19695831
worker_001,83,weight,materials,cotton,cottons,medium,positive,0,214521,83903351
worker_001,17,height,people,adult,adults,high,positive,0,32847475,480323270
worker_001,9,hardness,vegetables,mushroom,mushrooms,low,positive,0,3134851,9067552
worker_001,55,size,fish,tuna,tuna,medium,positive,0,2844261,52768568
worker_001,41,price,statues,plastic,plastic statues,low,positive,0,707,2837498
worker_001,63,speed_f,boats,sailboat,sailboats,medium,positive,0,498658,15603129
worker_001,78,weight,animals,fish,fish,low,positive,0,52768568,58179731
worker_001,14,hardness,furniture,blanket,blankets,medium,positive,0,4386506,67400151
worker_001,64,speed,pets,turtle,turtles,low,positive,0,2572647,26155002
worker_144,87,width,roads,side road,side roads,low,positive,0,35379,15093824
worker_144,19,height,people,jockey,jockeys,low,positive,0,875781,480323270
worker_144,78,weight,animals,fish,fish,low,positive,0,52768568,58179731
worker_144,41,price,statues,bronze,bronze statues,medium,positive,1,53960,2837498
worker_144,83,weight,materials,wool,wool,high,positive,0,7657323,83903351
worker_144,1,darkness,birds,seagull,seagulls,high,positive,1,329923,19695831
worker_144,38,loudness,birds,mockingbird,mockingbirds,high,positive,1,39837,19695831
worker_144,12,hardness,fruit,melon,melons,high,positive,1,1015937,22768964
worker_144,65,speed,people,elderly person,elderly people,low,positive,0,534085,480323270
worker_144,89,width,roads,country lane,country lanes,low,positive,0,51288,15093824
worker_144,58,size,dogs,poodle,poodles,medium,positive,0,255182,28409576
worker_144,8,darkness,animals,jaguar,jaguars,high,positive,1,1285032,58179731
worker_144,20,height,trees,redwood tree,redwood trees,high,positive,0,27197,27379426
worker_144,4,darkness,times of day,dusk,dusks,medium,positive,0,3542,99907
worker_144,75,temperature_h,locations,pantry,pantries,medium,positive,0,105460,58471896
worker_144,7,darkness,dogs,spaniel,spaniels,medium,positive,1,195570,28409576
worker_144,64,speed,pets,rabbit,rabbits,high,positive,1,2987957,26155002
worker_144,73,temperature_h,drinks,coffee,coffee,high,positive,1,42090859,11137329
worker_144,39,loudness_n,boats,powerboat,powerboats,high,positive,1,196244,15603129
worker_144,22,length,pets,hamster,hamsters,medium,positive,0,633540,26155002
worker_144,79,weight,people,kid,kids,medium,positive,0,96621142,480323270
worker_144,31,loudness_n,pets,fish,fish,low,positive,0,52768568,26155002
worker_144,45,price,bracelets,metal,metal bracelets,medium,positive,0,5274,6784458
worker_144,55,size,fish,herring,herrings,low,positive,0,137142,52768568
worker_144,3,darkness,cakes,cheesecake,cheesecakes,high,positive,1,267986,5565768
worker_144,29,loudness,concerts,choral concert,choirs,low,positive,1,680332,8711738
worker_144,85,weight,fruit,watermelon,watermelons,high,positive,1,190836,22768964
worker_144,33,loudness_n,birds,crow,crows,medium,positive,1,1295877,19695831
worker_144,54,size,fruit,watermelon,watermelons,high,positive,1,190836,22768964
worker_144,71,strength,walls,tent,tents,low,positive,0,3850460,14838230
worker_144,2,darkness,paint,blue paint,blue paints,medium,positive,0,543,21928120
worker_144,28,length,audios,song,songs,low,positive,1,49286341,313133
worker_144,32,loudness_n,venues,restaurant,restaurants,medium,positive,1,58580418,9389442
worker_144,69,strength,athletes,cyclist,cyclists,medium,positive,1,1228897,7268360
worker_144,72,temperature,food,salad,salads,medium,positive,0,2387032,180152837
worker_144,82,weight,objects,stick,sticks,medium,positive,0,6395033,33848628
worker_144,23,length,readings,poem,poems,low,positive,0,12665322,8678675
worker_144,60,speed,animals,sloth,sloths,low,positive,0,57052,58179731
worker_144,84,weight,vehicles,bike,bikes,low,positive,0,10741844,37254742
worker_144,21,length,dogs,bassett hound,bassett hounds,medium,positive,1,4658,28409576
worker_144,76,temperature_h,places,sauna,saunas,high,positive,1,934002,51698261
worker_144,5,darkness,writing tools,piece of chalk,chalks,high,positive,1,134762,141108
worker_144,57,size,appliances,toaster,toasters,low,positive,0,882911,23847029
worker_144,70,strength,paints,wall paint,wall paints,medium,positive,1,3469,3617496
worker_144,56,size,vehicles,smartcar,smartcars,low,positive,0,1843,37254742
worker_144,81,weight,furniture,couch,couches,high,positive,1,478444,67400151
worker_144,30,loudness_n,venues,party,parties,high,positive,1,52799939,9389442
worker_144,80,weight,electronic devices,cell phone,cell phones,low,positive,0,24281813,631257
worker_337,70,strength,paints,watercolor,watercolors,low,positive,1,567707,3617496
worker_337,66,speed_f,aircrafts,glider,gliders,low,positive,1,653558,237522
worker_337,81,weight,furniture,couch,couches,high,positive,1,478444,67400151
worker_337,13,hardness,materials,cotton,cottons,low,positive,0,214521,83903351
worker_337,24,length,vehicles,pick-up truck,pick up trucks,medium,positive,1,21984,37254742
worker_337,50,price,restaurants,Chinese restaurant,chinese restaurants,low,positive,0,373328,58580418
worker_337,9,hardness,vegetables,tomato,tomatoes,medium,positive,0,5924980,9067552
worker_337,47,price,berries,strawberries,strawberries,low,positive,1,1437661,1879643
worker_337,27,length,races,sprinting race,sprints,low,positive,0,444674,9715279
worker_337,45,price,bracelets,gold,gold bracelets,high,positive,1,166222,6784458
worker_337,20,height,trees,alpine tree,alpine trees,medium,positive,1,1447,27379426
worker_337,38,loudness,birds,mockingbird,mockingbirds,high,positive,1,39837,19695831
worker_337,83,weight,materials,cotton,cottons,medium,positive,0,214521,83903351
worker_337,46,price,clothes,suit,suits,high,positive,1,7986526,27039649
worker_337,71,strength,walls,tent,tents,low,positive,1,3850460,14838230
worker_337,73,temperature_h,drinks,milkshake,milkshakes,low,positive,0,99722,11137329
worker_337,53,size,insects,ant,ants,low,positive,0,2101115,5119814
worker_337,39,loudness_n,boats,sailboat,sailboats,medium,positive,0,498658,15603129
worker_337,63,speed_f,boats,speedboat,speedboats,high,positive,1,40032,15603129
worker_337,69,strength,athletes,cyclist,cyclists,medium,positive,0,1228897,7268360
worker_337,28,length,audios,podcast episode,podcast episodes,medium,positive,1,16668,313133
worker_337,31,loudness_n,pets,cat,cats,medium,positive,1,15738388,26155002
worker_337,67,strength,people,teenager,teenagers,medium,positive,1,4979216,480323270
worker_337,32,loudness_n,venues,library,libraries,low,positive,0,28105939,9389442
worker_337,25,length,entertainment,documentary,documentaries,medium,positive,1,1741319,111395809
worker_337,56,size,vehicles,sedan,sedans,medium,positive,0,665446,37254742
worker_337,8,darkness,animals,panther,panthers,low,positive,0,3695915,58179731
worker_337,90,width,doors,patio door,patio doors,medium,positive,0,222702,20230179
worker_337,43,price,shoes,sandals,sandals,low,positive,0,5022171,80761516
worker_337,75,temperature_h,locations,oven,ovens,high,positive,1,3443150,58471896
worker_337,19,height,people,jockey,jockeys,low,positive,0,875781,480323270
worker_337,59,speed,people,runner,runners,high,positive,1,3917217,480323270
worker_337,23,length,readings,novel,novels,high,positive,1,7525142,8678675
worker_337,58,size,dogs,great dane,great danes,high,positive,1,115558,28409576
worker_337,36,loudness_n,places,city,cities,high,positive,1,59810742,51698261
worker_337,89,width,roads,boulevard,boulevards,high,positive,1,278244,15093824
worker_337,22,length,pets,snake,snakes,high,positive,1,2521893,26155002
